preferred_name,cas,issue_type,recommended_action
generated_tertiary_amine_ethyl_n-butyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_n-butyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_n-butyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_n-butyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_n-butyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_tert-butyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_tert-butyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_tert-butyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_tert-butyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_tert-butyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_tert-butyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_vinyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_vinyl_allyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_vinyl_cyclopropyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_vinyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_vinyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_vinyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_vinyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_vinyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_vinyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_vinyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_allyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_allyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_allyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_allyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_allyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_allyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_cyclopropyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_cyclopropyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_cyclopropyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_cyclopropyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_cyclopropyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_cyclopropyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_fluoromethyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_fluoromethyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_fluoromethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_fluoromethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_fluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_fluoromethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_fluoromethyl_pentafluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_difluoromethyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_difluoromethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_difluoromethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_difluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_difluoromethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_fluoroethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_fluoroethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_fluoroethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_fluoroethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_difluoroethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_difluoroethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_difluoroethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_trifluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_ethyl_trifluoromethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_n-propyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_n-propyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_n-propyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_n-propyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_n-propyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_n-propyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_isopropyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_isopropyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_isopropyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_isopropyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_isopropyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_isopropyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_n-butyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_n-butyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_n-butyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_tert-butyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_tert-butyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_tert-butyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_vinyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_vinyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_vinyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_vinyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_vinyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_vinyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_vinyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_allyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_allyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_allyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_allyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_allyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_allyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_cyclopropyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_cyclopropyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_cyclopropyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_cyclopropyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_cyclopropyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_cyclopropyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_fluoromethyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_fluoromethyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_fluoromethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_fluoromethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_fluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_fluoromethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_difluoromethyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_difluoromethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_difluoromethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_difluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_difluoromethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_fluoroethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_fluoroethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_fluoroethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_fluoroethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_difluoroethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_difluoroethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_n-propyl_trifluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_isopropyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_isopropyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_isopropyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_isopropyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_isopropyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_isopropyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_n-butyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_n-butyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_n-butyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_tert-butyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_tert-butyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_tert-butyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_vinyl_vinyl,,identity_not_resolved; data_quality=Partial,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_vinyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_vinyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_vinyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_vinyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_vinyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_vinyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_allyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_allyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_allyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_allyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_allyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_allyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_cyclopropyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_cyclopropyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_cyclopropyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_cyclopropyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_cyclopropyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_cyclopropyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_fluoromethyl_fluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_fluoromethyl_difluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_fluoromethyl_fluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_fluoromethyl_difluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_fluoromethyl_trifluoromethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=possible,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
generated_tertiary_amine_isopropyl_fluoromethyl_trifluoroethyl,,identity_not_resolved; data_quality=Partial; pfas_flag=yes,"Review identity, property evidence, PFAS basis, and shortlisted reaction data before engineering release."
